Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference
Ag0.01Sn0.99Se0.80S0.20,418,362.82,868,0.1699,0.000114262,0.281115677,https://doi.org/10.1021/acs.chemmater.7b01612
Ag0.01Sn0.99Se0.90S0.10,418,347.44,1108,0.263,0.000133752,0.212578788,https://doi.org/10.1021/acs.chemmater.7b01612
Ba1.40Bi0.60Co1.00Ru1.00O6.00,418,143.3,21940,1.1677,0.000450535,0.161277583,https://doi.org/10.1021/acs.inorgchem.1c02442
Ba1.60Bi0.40Co1.00Ru1.00O6.00,418,74,37870,1.279,0.000207376,0.067774213,https://doi.org/10.1021/acs.inorgchem.1c02442
Ba1.80Bi0.20Co1.00Ru1.00O6.00,418,37.4,66050,1.362,9.24E-05,0.028354057,https://doi.org/10.1021/acs.inorgchem.1c02442
Ba1.80Bi0.20Co1.00Ru1.00O6.00,418,45.56,54592,1.328,0.000113317,0.035667662,https://doi.org/10.1021/acs.inorgchem.1c02442
Ba1.90Bi0.10Co1.00Ru1.00O6.00,418,30.87,86290,1.4325,8.22E-05,0.023994703,https://doi.org/10.1021/acs.inorgchem.1c02442
Ba2.00Co1.00Ru1.00O6.00,418,26,102900,1.4623,6.96E-05,0.019883914,https://doi.org/10.1021/acs.inorgchem.1c02442
Ca11.00Sb10.00,419,15.85,2165,0.8313,5.44E-07,0.00027414,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca2.00Yb9.00Sb10.00,419,4.89,132653,1.9441,3.17E-06,0.000683644,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca2.00Yb9.00Sb9.00Ge1.00,419,19.56,873.47,1.8447,3.34E-07,7.59E-05,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca6.00Yb5.00Sb10.00,419,8.296,51429,1.2219,3.54E-06,0.001213735,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca9.00Yb2.00Sb10.00,419,14.96,52245,0.75,1.17E-05,0.006532218,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca9.00Yb2.00Sb7.00Ge3.00,419,52,206,0.9969,5.57E-07,0.000234119,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca9.00Yb2.00Sb9.00Ge1.00,419,-3.56,12371,0.7875,1.57E-07,8.34E-05,https://doi.org/10.1021/acs.inorgchem.7b00617
Pb0.99Zn0.02Te1.00,419,-268.2,40600,1.6643,0.002920408,0.735234691,https://doi.org/10.1021/acsami.1c14518
Pb0.98Zn0.03Te1.00,419,-217.12,53200,1.7874,0.002507906,0.587900138,https://doi.org/10.1021/acsami.1c14518
Pb0.98Zn0.04Te1.00,419,-208.9,59400,1.9077,0.002592169,0.565,https://doi.org/10.1021/acsami.1c14518
Cu10.50Ni0.50Zn1.00Sb4.00S13.00,420,188,8765,0.446,0.000307,0.291730644,10.1021/cm502570b
Cu10.50Ni1.50Sb4.00S13.00,420,157,21000,0.675,0.000517629,0.3237,10.1021/cm502570b
Cu10.50Ni1.00Zn0.50Sb4.00S13.00,420,176,17950,0.524,0.00052,0.442,10.1021/cm502570b
Ba8.01Ga15.83Zn0.02Sn30.15,420,466.5,4480,0.757,0.000974948,0.540922095,https://doi.org/10.1021/acs.chemmater.5b00025
Ba8.01Ga15.88Zn0.01Sn30.11,420,423,6360,0.829063564,0.001137988,0.5765,https://doi.org/10.1021/acs.chemmater.5b00025
Ba8.01Ga15.89Zn0.01Sn30.10,420,382.8,11985,0.8766,0.001756232,0.841452724,https://doi.org/10.1021/acs.chemmater.5b00025
Ba8.00Ga15.88Zn0.01Sn30.12,420,374,13684,0.892836613,0.001923,0.9046,https://doi.org/10.1021/acs.chemmater.5b00025
Ca1.55Yb3.45Al2.00Sb6.00,420,177.07,419,0.9083,1.31E-05,0.006074688,https://doi.org/10.1021/acs.inorgchem.0c01944
Ca1.58Yb3.42Al2.00Sb6.00,420,29,23333,3.825,1.96E-05,0.002154688,https://doi.org/10.1021/acs.inorgchem.0c01944
Bi0.82Ba0.17Cu1.00Se1.00O1.00,420,162.82,19519,0.6819,0.0007102,0.437430708,https://doi.org/10.1021/acsaem.1c02720
Bi0.88Ba0.12Cu1.00Se1.00O1.00,420,178.2,15000,0.859,0.000527,0.257671711,https://doi.org/10.1021/acsaem.1c02720
Bi0.80Ba0.20Cu1.00Se1.00O1.00,420,180.25,17500,0.8047,0.0007,0.365353548,https://doi.org/10.1021/acsaem.1c02720
Bi0.95Ba0.05Cu1.00Se1.00O1.00,420,252,5000,0.767,0.00031752,0.173870143,https://doi.org/10.1021/acsaem.1c02720
Bi1.00Cu1.00Se1.00O1.00,420,421.15,874,0.6898,0.000155019,0.094386774,https://doi.org/10.1021/acsaem.1c02720
Cu1.00I0.00Bi2.00Te3.00,420,-170.86,93431,1.3852,0.002727544,0.827005902,https://doi.org/10.1021/acsami.0c09529
Ca0.10Ba1.00Gd1.90Ni1.00O5.00,421,230.88,27.59561296,2.4228,1.47E-06,0.00025561,https://doi.org/10.1021/acs.inorgchem.7b00049
Ag3.00Rb1.00Mo9.00Se11.00,421,96.04,5926,0.7136,5.47E-05,0.032247289,https://doi.org/10.1021/acs.inorgchem.7b01200
Ca0.99Yb4.01Al2.00Sb5.84Ge0.16,421,242.92,1308,1.037,7.72E-05,0.031335572,https://doi.org/10.1021/acs.inorgchem.9b00181
Sn1.00Te1.00,421,20.7,553846,6.9474,0.000237317,0.014381014,https://doi.org/10.1021/acsami.1c15595
Pb1.00Zn0.01Te1.00,421,-292.7,27830,1.522,0.002384288,0.665,https://doi.org/10.1021/acsami.1c14518
Ca3.00Al0.95Zn0.05Sb3.00,422,184,4745,1.06,0.000160647,0.06,10.1039/c2jm31324c
Ca3.00Al0.98Zn0.02Sb3.00,422,200,3150,1.103,0.000126,0.046,10.1039/c2jm31324c
Ca3.00Al0.99Zn0.01Sb3.00,422,171.7,10900,1.269,0.000321342,0.101,10.1039/c2jm31324c
Ca3.00Al1.00Sb3.00,422,351.85,326.7,0.9884,4.04E-05,0.015,10.1039/c2jm31324c
Ca5.00In1.98Zn0.02Sb6.00,422,263.7,5418,0.9328,0.000376755,0.164,10.1039/c3dt50428j
Ca5.00In1.90Zn0.10Sb6.00,422,144,20460,1.1084,0.000424259,0.15,10.1039/c3dt50428j
Ca5.00In2.00Sb6.00,422,479.5,974,0.8656,0.000223942,0.109177057,10.1039/c3dt50428j
Cu5.00Sn2.00S7.00,422,42.045,243011,4.2375,0.00042959,0.042781636,https://doi.org/10.1021/acs.chemmater.1c03434
Cu12.00Sb4.00S13.00,422,107.2,26850,0.6053,0.000308556,0.215117448,https://doi.org/10.1021/acs.chemmater.6b04950
Cu11.00Zn1.00Sb4.00S13.00,422,147.9,10700,0.453,0.000234056,0.218039097,https://doi.org/10.1021/acs.chemmater.6b04950
Ca1.11Yb3.89Al2.00Sb5.77Ge0.23,422,44.81,17944,2.193,3.60E-05,0.006933348,https://doi.org/10.1021/acs.inorgchem.9b00181
Cu1.00Ag1.00Te0.50Se0.50,422,211.41,5482,0.306,0.000245014,0.337894489,https://doi.org/10.1021/acsami.1c20333
Cu1.00Ag1.00Te0.60Se0.40,422,231.52,6783,0.3476,0.000363579,0.441399186,https://doi.org/10.1021/acsami.1c20333
Cu1.00Ag1.00Te0.70Se0.30,422,249.18,6602,0.2946,0.000409923,0.587193976,https://doi.org/10.1021/acsami.1c20333
Cu7.00P1.00Se6.00,422,179.76,2451.7,0.2569,7.92E-05,0.1301373,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.25Se0.76,422,232.54,2452,0.2863,0.000132592,0.195437053,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.50Se0.56,422,260,1250,0.26,8.45E-05,0.13715,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.55Se0.46,422,282,875,0.2265,6.96E-05,0.12964343,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.60Se0.46,422,313.1,687,0.21,6.73E-05,0.135336839,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.65Se0.36,422,297.4,559,0.209,4.94E-05,0.099829731,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S0.75Se0.26,422,359.17,190,0.1882,2.45E-05,0.054959977,https://doi.org/10.1021/acsami.1c11193
Cu7.00P1.00S6.00,422,125,6.62,0.202,1.03E-07,0.000216092,https://doi.org/10.1021/acsami.1c11193
Ag1.00Cu1.00Te1.00,422,120,24175,0.6,0.0003381,0.2448444,https://doi.org/10.1021/acsami.0c17836
Ag1.00Cu1.00Te0.90Se0.10,422,181.15,24078,0.358,0.0008029,0.8855,https://doi.org/10.1021/acsami.0c17836
Ag1.00Cu1.00Te0.80Se0.20,422,161.63,14757,0.4,0.000385516,0.40671902,https://doi.org/10.1021/acsami.0c17836
Ag1.00Cu1.00Te0.70Se0.30,422,191.83,14854,0.3185,0.0005536,0.7355,https://doi.org/10.1021/acsami.0c17836
Ag1.00Cu1.00Te0.60Se0.40,422,217.5,8835,0.3049,0.0004203,0.6705,https://doi.org/10.1021/acsami.0c17836
Ag1.00Cu1.00Te0.50Se0.50,422,146,2715,0.2272,5.47E-05,0.0945,https://doi.org/10.1021/acsami.0c17836
In4.00Se2.32Cl0.03,423,-246.15,23400,0.993,0.001408,0.6,10.1002/adma.201004739
In4.00Se2.67Cl0.03,423,-137.08,71050,0.742,0.001335095,0.761112292,10.1002/adma.201004739
Cu2.00Sn0.80Zn0.20S3.00,423,61,116712,2.258,0.000434285,0.081356379,10.1038/srep32501
Cu2.00Sn0.95Zn0.05S3.00,423,125,16438,1.21,0.000256844,0.089789179,10.1038/srep32501
Cu2.00Sn0.90Zn0.10S3.00,423,92.7,46850,1.588,0.000402596,0.107240525,10.1038/srep32501
Cu2.00Sn1.00S3.00,423,340,170,1.63,1.97E-05,0.005099875,10.1038/srep32501
In4.00Pb0.01Sn0.03Se2.90Cl0.06,423,-231,5225,0.772,0.000278811,0.155,10.1039/c4dt03432e
Ge0.99Te1.00,423,58,512635,4.72,0.001724504,0.154547723,10.1039/C9EE00317G
Ge1.04Te1.00,423,100.54,323462,4.105,0.003269648,0.33692112,10.1039/C9EE00317G
Ge1.00Te1.00,423,68,425150,4.72,0.001965894,0.176180719,10.1039/C9EE00317G
Cu2.82Ag0.18Sb1.00Se4.00,423,392,6490,1.08,0.000997279,0.4,10.1039/c9ta05115e
Cu2.88Ag0.12Sb1.00Se4.00,423,394,7716,1.29,0.001197801,0.4,10.1039/c9ta05115e
Cu2.94Ag0.06Sb1.00Se4.00,423,439,4615,1.42,0.000889407,0.264943195,10.1039/c9ta05115e
Cu3.00Sb1.00Se4.00,423,454,2563,1.63,0.000528275,0.137092304,10.1039/c9ta05115e
Sn1.00S1.00,423,256.4,38149,2.155,0.002507952,0.492280114,10.1126/science.aax5123
Sn1.00S0.88Se0.12,423,213,54487,1.82,0.002472021,0.574541075,10.1126/science.aax5123
Sn1.00S0.91Se0.09,423,242.5,73350,1.71,0.0042705,1.0538,10.1126/science.aax5123
Sn1.00S0.94Se0.06,423,259,47100,1.81,0.003159515,0.738383916,10.1126/science.aax5123
Sn1.00S0.97Se0.03,423,252.8,41300,2.19,0.002618,0.508,10.1126/science.aax5123
Tl1.00Cr5.00Se8.00,423,247.4,5878,0.706,0.000359773,0.215558245,dx.doi.org/10.1021/cm400365q
Bi0.92Ag0.08Cu1.00Se1.00O1.00,423,203.3,1910,0.484,7.89E-05,0.068992698,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015
Bi0.94Ag0.06Cu1.00Se1.00O1.00,423,250,1430,0.518,8.94E-05,0.072983832,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015
Bi0.96Ag0.04Cu1.00Se1.00O1.00,423,267.8,1477,0.538,0.000105926,0.083283647,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015
Bi0.90Ag0.10Cu1.00Se1.00O1.00,423,200,2079,0.55,8.32E-05,0.0639576,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015
Bi1.00Cu1.00Se1.00O1.00,423,443,500,0.658,9.81E-05,0.063080036,http://dx.doi.org/10.1016/j.jeurceramsoc.2014.09.015
Bi2.00Te3.00,423,-151.8,90500,0.755,0.002085413,1.168383831,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Ce0.20Bi1.80Te3.00,423,-150.18,72257,0.5386,0.001629687,1.279906205,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Sm0.20Bi1.80Te3.00,423,-152.27,64000,0.621,0.001483914,1.010781854,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Y0.20Bi1.80Te3.00,423,-147.4,72086,0.58,0.001566195,1.142242377,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Bi2.00S2.79Se0.21,423,-529.7,379,0.608,0.000106341,0.073983682,https://doi.org/10.1007/s11467-018-0845-4
Bi2.00S2.85Se0.15,423,-470,718,0.64,0.000158606,0.104828785,https://doi.org/10.1007/s11467-018-0845-4
Bi2.00S2.91Se0.09,423,-476,562,0.66,0.000127336,0.081610615,https://doi.org/10.1007/s11467-018-0845-4
Bi2.00S3.00,423,-641,33.5,0.576,1.38E-05,0.010108315,https://doi.org/10.1007/s11467-018-0845-4
Bi2.00Te1.95Se1.05,423,-184.7,43460,0.925,0.001484,0.673,https://doi.org/10.1007/s11664-020-08258-9
Bi2.00Te2.01Se0.99,423,-165.6,49100,0.981,0.001346487,0.581,https://doi.org/10.1007/s11664-020-08258-9
Bi2.00Te2.10Se0.90,423,-169.9,53950,1.07,0.001557321,0.6366,https://doi.org/10.1007/s11664-020-08258-9
Bi2.00Te2.55Se0.45,423,-152.4,70435,1.15,0.001635906,0.599,https://doi.org/10.1007/s11664-020-08258-9
Bi2.00Te2.70Se0.30,423,-148.9,83320,1.286,0.001847305,0.607628388,https://doi.org/10.1007/s11664-020-08258-9
Zn0.98In0.02Sb3.00,423,151.3,31920,0.81,0.000730703,0.381589211,https://doi.org/10.1016/j.intermet.2004.02.030
Zn0.90In0.14Sb3.00,423,187.5,13143,0.82,0.000462059,0.238354616,https://doi.org/10.1016/j.intermet.2004.02.030
Ag0.40Sb1.10Pb19.60Te18.80,423,-1,16247,1.555,1.62E-08,4.42E-06,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag0.50Sb1.10Pb19.60Te18.80,423,1.6,29875,1.633,7.65E-08,1.98E-05,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag0.80Sb0.80Pb18.30Te20.00,423,-337,4608,0.8555,0.000523326,0.258757309,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag0.90Sb0.90Pb18.30Te19.90,423,-360,3168,0.955,0.000410573,0.181855806,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag1.10Sb0.80Pb15.50Te22.60,423,360,4350,1.048,0.00056376,0.227548168,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag1.20Sb0.80Pb14.90Te22.70,423,438.5,1800,1.06,0.000346108,0.138116703,https://doi.org/10.1016/j.jallcom.2004.08.049
Ag1.30Sb0.90Pb15.70Te22.00,423,153.6,833,1,1.97E-05,0.008313192,https://doi.org/10.1016/j.jallcom.2004.08.049
Sn0.98In0.02Se1.00,423,440,46,0.716,8.91E-06,0.005261269,https://doi.org/10.1016/j.jallcom.2016.01.190
Sn1.00Se1.00,423,397,359,0.69,5.66E-05,0.037,https://doi.org/10.1016/j.jallcom.2016.01.190
Sn0.87Mn0.10Bi0.03Te1.00,423,72,218000,4,0.001130112,0.119509344,https://doi.org/10.1016/j.jmst.2020.12.063
Sn0.91Mn0.08Bi0.01Te1.00,423,63.8,267800,4.1,0.001090064,0.112462683,https://doi.org/10.1016/j.jmst.2020.12.063
Sn1.00Te1.00,423,37,431500,9.3,0.000590724,0.026868391,https://doi.org/10.1016/j.jmst.2020.12.063
Cu3.00Sb1.00In0.00Se4.00,423,276.2,6600,1.704,0.000503491,0.124986199,https://doi.org/10.1016/j.matdes.2016.03.001
Cu3.00Sb1.00In0.00Se4.00,423,284,6200,1.68,0.000513,0.138,https://doi.org/10.1016/j.matdes.2016.03.001
Cu3.00Sb1.00In0.00Se4.00,423,303,4810,1.65,0.000441601,0.113210513,https://doi.org/10.1016/j.matdes.2016.03.001
Cu3.00Sb1.00Se4.00,423,368,3100,1.845,0.00041,0.096250131,https://doi.org/10.1016/j.matdes.2016.03.001
Sn0.97Ce0.03Te1.00,423,71.4,231645,3.5,0.001180917,0.142722248,https://doi.org/10.1016/j.mtphys.2019.100156
Sn0.98Ce0.02Te1.00,423,40.86,321520,4.1546,0.00053679,0.054653234,https://doi.org/10.1016/j.mtphys.2019.100156
Sn0.99Ce0.01Te1.00,423,32,400000,5.324,0.0004096,0.032543351,https://doi.org/10.1016/j.mtphys.2019.100156
Co1.00Sb3.00,423,-200,2941,5.4,0.00011764,0.009215133,https://doi.org/10.1016/S0925-8388(00)01275-5
Sn0.96Pb0.01Cd0.03Se1.00,423,347.7,3587,0.6957,0.000433651,0.26366903,https://doi.org/10.1021/acs.chemmater.0c03657
Sn0.96Pb0.01Cd0.04Se1.00,423,342.05,3889,0.5739,0.000455006,0.335367733,https://doi.org/10.1021/acs.chemmater.0c03657
Sn0.97Pb0.01Cd0.01Se1.00,423,356.33,2720,0.852,0.000345361,0.171464593,https://doi.org/10.1021/acs.chemmater.0c03657
Sn0.97Pb0.01Cd0.03Se1.00,423,350,3111,0.7876,0.000381098,0.204677809,https://doi.org/10.1021/acs.chemmater.0c03657
Sn1.00Se1.00,423,362.58,2365,1.024,0.000310913,0.128433774,https://doi.org/10.1021/acs.chemmater.0c03657
Ca3.20Yb1.65Pr0.15Al2.00Sb6.00,423,48.3,3000,1.46,7.00E-06,0.002027697,https://doi.org/10.1021/acs.chemmater.1c01318
Ca3.30Yb1.50Sm0.20Al2.00Sb6.00,423,68.9,7950,1.192,3.77E-05,0.013392748,https://doi.org/10.1021/acs.chemmater.1c01318
Ca3.30Yb1.50Sm0.20Al2.00Sb6.00,423,-108.33,354,0.8973,4.15E-06,0.001958409,https://doi.org/10.1021/acs.chemmater.1c01318
Ca3.46Yb1.35Pr0.19Al2.00Sb6.00,423,-141.07,667,1.4464,1.33E-05,0.003881925,https://doi.org/10.1021/acs.chemmater.1c01318
Ca1.18Yb3.82Al1.84In0.16Sb6.00,423,29.01,32909,2.933,2.77E-05,0.003994279,https://doi.org/10.1021/acs.inorgchem.0c01944
Pb6.00Bi2.00Se9.00,423,-112.8,23423,1.123,0.000298031,0.112259041,https://doi.org/10.1021/acs.inorgchem.6b02118
As2.00Te1.50Se1.50,423,589.8,21.84,0.3275,7.60E-06,0.009812761,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te2.30Se0.70,423,338.8,257.5,0.465,2.96E-05,0.028,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te2.60Se0.40,423,249.2,1852.5,0.534,0.000115041,0.088,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te2.80Se0.20,423,221.21,1671.9,0.5706,8.18E-05,0.060649665,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te2.90Se0.10,423,158.42,1508.59,0.6,3.79E-05,0.02613,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te2.00Se1.00,423,246.46,44.85,0.4126,2.72E-06,0.002792971,https://doi.org/10.1021/acs.inorgchem.6b02930
As2.00Te3.00,423,40.59,865.96,0.684,1.43E-06,0.000882308,https://doi.org/10.1021/acs.inorgchem.6b02930
Ba0.95K0.05Zn2.00As2.00,423,39.51,160000,3.3357,0.000249766,0.03167287,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba0.96K0.04Zn2.00As2.00,423,55.56,100000,2.4071,0.000308691,0.054246373,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba0.97K0.03Zn2.00As2.00,423,59.88,118519,2.9078,0.000424963,0.061819772,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba0.98K0.02Zn2.00As2.00,423,94.4,103226,2.383,0.000919884,0.163286174,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba0.99K0.01Zn2.00As2.00,423,134.6,37209,1.9362,0.000674121,0.147274742,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba0.90K0.10Zn2.00As2.00,423,37.04,168421,3.4638,0.000231067,0.028217969,https://doi.org/10.1021/acs.inorgchem.7b00232
Ba1.00Zn2.00As2.00,423,230,5677,1.4823,0.000289,0.085699606,https://doi.org/10.1021/acs.inorgchem.7b00232
Li1.01Co0.85Ni0.15O2.00,423,269.5,0.2607,0.9798,1.89E-08,8.17E-06,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.04Co0.85Ni0.15O2.00,423,249,0.4763,2.0081,2.95E-08,6.22E-06,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.10Co0.85Ni0.15O2.00,423,183,2.0675,2.8,6.92E-08,1.05E-05,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.00Co0.85Ni0.15O2.00,423,211.03,0.2126,2.0341,9.47E-09,1.97E-06,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.00Co0.92Ni0.08O2.00,423,302.07,0.008703,1.4091,7.94E-10,2.38E-07,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.00Co0.96Ni0.04O2.00,423,571.23,0.007726,2.2273,2.52E-09,4.79E-07,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.00Co0.98Ni0.02O2.00,423,546.58,0.0009237,2.4886,2.76E-10,4.69E-08,https://doi.org/10.1021/acs.inorgchem.7b00476
Li1.00Co1.00O2.00,423,1052.4,0.1925,7.5909,2.13E-07,1.19E-05,https://doi.org/10.1021/acs.inorgchem.7b00476
Sn1.03Se0.08Te0.92,423,26.17,387719,5.4277,0.000265537,0.02069422,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Se0.12Te0.86Br0.01,423,31.8,355263,3.8805,0.000359256,0.039161282,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Se0.12Te0.88Br0.01,423,34.74,390351,4.195,0.000471102,0.04750325,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Se0.12Te0.87Br0.01,423,33.2,450000,3.9182,0.000496008,0.053547901,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Se0.12Te0.88,423,26.62,369298,4.459,0.000261694,0.024825383,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Se0.15Te0.85,423,25.7,361739,4.283,0.000238925,0.023596841,https://doi.org/10.1021/acsaem.1c02442
Sn1.03Te1.00,423,27.07,434211,7.855,0.000318183,0.017134503,https://doi.org/10.1021/acsaem.1c02442
Sn1.00Te13.00Sb2.00,423,102.93,153125,2.19,0.001622296,0.313347547,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te15.00Sb2.00,423,84.83,181125,2.7,0.001303399,0.204199153,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te18.00Sb2.00,423,74.2,228000,3.3,0.001255286,0.160904832,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te23.00Sb2.00,423,63.62,237197,3.98,0.000960056,0.102036092,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te28.00Sb2.00,423,60.52,278250,4,0.001019138,0.107773848,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te43.00Sb2.00,423,47.07,312102,5.089,0.000691488,0.057476838,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te11.00Sb2.00,423,120.26,117848,1.89,0.001704373,0.381454883,https://doi.org/10.1021/acsaem.1c03231
Sn1.00Te1.00,423,19.138,505605,7.265,0.000185184,0.010782245,https://doi.org/10.1021/acsaem.1c03231
Bi0.42Sb1.58Te3.00,423,236.19,31915,0.971,0.001780401,0.77560214,https://doi.org/10.1021/acsami.1c13372
Ti1.00Zr0.01Ni1.00Sn1.00,423,-160,51077,2.67,0.001307571,0.2189,https://doi.org/10.1021/acsami.1c14723
Ti1.00Zr0.01Ni1.00Sn1.00,423,-176.49,47231,2.38,0.001471185,0.2773,https://doi.org/10.1021/acsami.1c14723
Ge1.00Te0.70Ag1.00Sn1.00Se20.30,423,36.02,67097,1.375,8.71E-05,0.026781086,https://doi.org/10.1021/acsami.1c14801
Ge1.00Te0.80Ag1.00Sn1.00Se20.20,423,37.27,223220,2.3077,0.000310064,0.056834613,https://doi.org/10.1021/acsami.1c14801
Ge1.00Te0.90Ag1.00Sn1.00Se20.10,423,46.58,276129,2.9904,0.000599116,0.084746559,https://doi.org/10.1021/acsami.1c14801
Ge0.55Sb0.25Te0.80Ag1.00Sn1.00Se20.20,423,189,33548,0.757,0.001198368,0.669629735,https://doi.org/10.1021/acsami.1c14801
Ge0.58Sb0.22Te0.80Ag1.00Sn1.00Se20.20,423,178.88,41290,0.74,0.0013212,0.774,https://doi.org/10.1021/acsami.1c14801
Ge0.60Sb0.20Te0.80Ag1.00Sn1.00Se20.20,423,159,54194,0.8365,0.001370079,0.692819141,https://doi.org/10.1021/acsami.1c14801
Ge1.00Te1.00,423,53.42,512821,5.057,0.001463435,0.122411151,https://doi.org/10.1021/acsami.1c14801
Ce0.75Fe3.00Co1.00Sb12.00,423,79.3,132190,7.025,0.000831275,0.050054026,https://doi.org/10.1021/acsami.1c16622
Cu0.00Pb1.00Te1.03Mn1.00,423,-208,55724,1.594,0.002410843,0.639765776,https://doi.org/10.1021/acsami.1c17254
Cu0.00Pb1.00Te1.03Mn1.00,423,-207.72,62069,1.608,0.002678128,0.704507627,https://doi.org/10.1021/acsami.1c17254
Cu0.00Pb1.00Te1.03Mn1.00,423,-202.81,59586,1.568,0.002450885,0.66117629,https://doi.org/10.1021/acsami.1c17254
Cu0.00Pb1.00Te1.03Mn1.00,423,-204.56,57655,1.56,0.002412562,0.65417535,https://doi.org/10.1021/acsami.1c17254
Cu0.01Pb0.99Te1.03Mn1.00,423,-197.02,74110,1.6213,0.002876719,0.75054101,https://doi.org/10.1021/acsami.1c17254
Pb1.00Te1.03Mn1.00,423,-212.3,58483,1.632,0.002635904,0.683203124,https://doi.org/10.1021/acsami.1c17254
Tl2.00Ge1.00Te3.00,423,227.5,3200,0.29,0.00016562,0.241576759,https://doi.org/10.1063/1.2181427
Tl4.00Pb1.00Te3.00,423,67,39900,0.823,0.000175,0.0876,https://doi.org/10.1063/1.2181427
Tl4.00Sn1.00Te3.00,423,145,20000,0.448,0.0004205,0.39,https://doi.org/10.1063/1.2181427
Mo3.00Sb7.00I0.75,423,24.5,569400,5.556,0.000341782,0.026021226,https://doi.org/10.1063/1.5144156
Mo3.00Sb7.00I1.25,423,28.2,523600,5.19,0.000416388,0.033936798,https://doi.org/10.1063/1.5144156
Mo3.00Sb7.00I1.50,423,13.7,456500,4.71,8.57E-05,0.007694872,https://doi.org/10.1063/1.5144156
Pb0.97Zn0.04Te1.00,423,-191.5,68450,1.94,0.002510216,0.547330496,https://doi.org/10.1021/acsami.1c14518
Ag2.00Se1.00,423,-87.6,139837,3.004,0.001073076,0.148,https://doi.org/10.1021/acsami.1c08410
Ag8.00Si1.00Se6.00,423,-97.93,56923,0.5433,0.000545908,0.425030359,https://doi.org/10.1021/acsami.0c15877
Ag8.00Si1.00Se6.00,423,-107.78,37927,0.47,0.00044058,0.396522065,https://doi.org/10.1021/acsami.0c15877
Ag8.00Si1.00Se6.00,423,-104.64,42571,0.492,0.000466132,0.400760194,https://doi.org/10.1021/acsami.0c15877
Ag8.00Si1.00Se6.00,423,-112.74,35047,0.4504,0.000445458,0.418358787,https://doi.org/10.1021/acsami.0c15877
Sn1.00Te1.00,423,41.46,562921,7.5495,0.000967623,0.054216094,https://doi.org/10.1021/acsami.0c09781
Sn0.98In0.01Te1.00,423,63.65,420230,5.7222,0.001702487,0.125852314,https://doi.org/10.1021/acsami.0c09781
